"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2030791","Residential Attached","S","24 20875 88 AVENUE","Walnut Grove","2003","Townhouse","13","Langley","Langley","6/22/2016","John Kenney","2","$2,540.03","1/31/2016","025-787-063",,"$200.00","2/1/2016","$330,000","$239.48","0.99","3","3","CD-5","$333,000","1","1,378","$239.48","0.99","Townhouse"
"R2028764","Residential Detached","S","45724 BERKELEY AVENUE","Chilliwack N Yale-Well","9999","House/Single Family","999","Chilliwack","Chilliwack","5/30/2016","TIM WIGHT","1","$2,081.66","1/22/2016","009-919-171",,,"1/29/2016","$330,000","$132.26","1.00","2","3","R1A","$329,900","7","2,495","$132.26","1.00","House/Single Family"
"R2025999","Residential Attached","S","1602 7325 ARCOLA STREET","Highgate","2009","Apartment/Condo","7","Burnaby South","Burnaby","4/18/2016","COORDINATOR","1","$1,996.45","1/18/2016","027-905-012",,"$193.20","1/31/2016","$330,000","$531.40","0.97","1","1","STRATA","$339,900","13","621","$531.40","0.97","Apartment/Condo"
"R2010657","Residential Attached","S","202 2033 W 7TH AVENUE","Kitsilano","1972","Apartment/Condo","44","Vancouver West","Vancouver","4/29/2016","LILY WANG","1","$1,192.13","10/23/2015","003-128-482",,"$240.00","1/28/2016","$330,500","$558.28","0.97","1","1","RM-4","$339,000","97","592","$558.28","0.95","Apartment/Condo"
"R2029423","Residential Attached","S","3 2745 FULLER STREET","Central Abbotsford","2009","Townhouse","7","Abbotsford","Abbotsford","4/24/2016","Gary or Lana Shepherd","3","$2,842.84","1/27/2016","027-790-789","3","$134.00","1/30/2016","$331,000","$132.40","1.12","3","4","RM60","$295,000","3","2,500","$132.40","1.12","Townhouse"
"R2028877","Residential Attached","S","2 45847 LEWIS AVENUE","Chilliwack N Yale-Well","1995","1/2 Duplex","21","Chilliwack","Chilliwack","7/31/2016","Clark Hitchcock","2","$2,776.63","1/27/2016","023-474-807",,,"1/30/2016","$332,500","$109.12","0.99","3","3","R1B","$337,500","3","3,047","$109.12","0.99","1/2 Duplex"
"R2022355","Residential Attached","S","1609 9888 CAMERON STREET","Sullivan Heights","2009","Apartment/Condo","7","Burnaby North","Burnaby","4/29/2016","TED CHO","1","$2,040.27","1/4/2016","027-908-691",,"$201.04","1/30/2016","$334,000","$485.47","0.96","1","1","APT","$349,000","26","688","$485.47","0.96","Apartment/Condo"
"R2026244","Residential Attached","S","412 1718 NELSON STREET","West End VW","1975","Apartment/Condo","41","Vancouver West","Vancouver","5/31/2016","ROB JOYCE OR ROGER ROSS","1","$816.67","1/19/2016","002-455-099","4","$270.00","1/28/2016","$334,000","$712.15","1.11","1","1","RM-5A","$299,900","9","469","$712.15","1.11","Apartment/Condo"
"R2031483","Residential Attached","S","207 2889 E 1ST AVENUE","Renfrew VE","2017","Apartment/Condo","0","Vancouver East","Vancouver","12/31/2016","HELEN LEE","1","$0.00","1/31/2016","800-102-390","4","$173.55","1/31/2016","$334,500","$573.76","1.00","1","1","C2C1","$334,500","0","583","$573.76","1.00","Apartment/Condo"
"R2030878","Residential Attached","S","210 2889 E 1ST AVENUE","Renfrew VE","2017","Apartment/Condo","0","Vancouver East","Vancouver","12/31/2016","HELEN LEE","1","$0.00","1/29/2016","800-102-472","4","$173.55","2/1/2016","$334,500","$573.76","1.00","1","1","C2C1","$334,500","3","583","$573.76","1.00","Apartment/Condo"
"R2032134","Residential Attached","S","417 15168 33 AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","5/1/2016","Judy Rohatyn","2","$0.00","2/1/2016","900-577-883","4","$280.26","2/2/2016","$334,900","$394.00","1.00","2","2","CD","$334,900","1","850","$394.00","1.00","Apartment/Condo"
"R2026321","Residential Attached","S","116 2969 WHISPER WAY","Westwood Plateau","2006","Apartment/Condo","10","Coquitlam","Coquitlam","12/31/2016","KEVIN","2","$1,890.34","1/18/2016","026-718-138","4","$250.00","2/2/2016","$335,000","$387.28","1.00","2","2","RES","$335,000","15","865","$387.28","1.00","Apartment/Condo"
"R2020843","Residential Attached","S","8 7305 MONTECITO DRIVE","Montecito","1971","Townhouse","45","Burnaby North","Burnaby","6/16/2016","TOUCHBASE","1","$1,948.82","12/16/2015","001-135-848",,"$311.00","1/28/2016","$335,000","$279.17","0.99","2","2","RES","$338,000","43","1,200","$279.17","0.99","Townhouse"
"V1055251","Residential Detached","S","5736 EMILY WAY","Sechelt District","2005","House/Single Family","11","Sunshine Coast","Sechelt","1/30/2017","BECKY","2","$3,407.00","3/31/2014","026-560-178",,"$25.00","1/30/2016","$335,000","$206.79","0.96","3","3","R1","$349,500","670","1,620","$206.79","0.96","House/Single Family"
"R2027291","Residential Attached","S","10 45762 SAFFLOWER CRESCENT","Sardis East Vedder Rd","2011","Townhouse","5","Sardis","Sardis","5/22/2016","Sarah Toop","3","$2,255.91","1/22/2016","028-736-494",,"$230.00","1/30/2016","$335,000","$153.74","0.99","4","4","R4","$337,500","8","2,179","$153.74","0.99","Townhouse"
"R2029398","Residential Attached","S","1708 6055 NELSON AVENUE","Forest Glen BS","1988","Apartment/Condo","28","Burnaby South","Burnaby","4/30/2016","HEINER","1","$2,186.81","1/27/2016","010-715-258","25","$274.00","1/31/2016","$335,000","$371.81","0.96","1","1","RM","$349,800","4","901","$371.81","0.96","Apartment/Condo"
"R2028339","Residential Attached","S","19 12738 66 AVENUE","West Newton","2004","Townhouse","12","Surrey","Surrey","5/26/2016","Shivani","2","$1,645.69","1/26/2016","025-841-271",,"$209.66","1/29/2016","$335,002","$232.48","1.02","3","3","RM-30","$329,900","3","1,441","$232.48","1.02","Townhouse"
"R2026665","Residential Attached","S","323 15380 102A AVENUE","Guildford","2006","Apartment/Condo","10","North Surrey","Surrey","4/17/2016","CHRISTOPHER CHO","2","$1,696.94","1/17/2016","026-642-611",,"$290.00","2/1/2016","$336,000","$277.69","0.99","2","3","APT","$339,000","15","1,210","$277.69","0.99","Apartment/Condo"
"R2027462","Land Only","S","LT.B 3436 HEADWATER PLACE","Abbotsford West",,,,"Abbotsford","Abbotsford","12/30/2016","AMAN BATH",,"$0.00","1/18/2016","029-636-752",,,"2/1/2016","$339,000","$68.28","1.00",,,"RS5-A","$339,900","14",,"$68.28","1.00","Other"
"R2030280","Residential Attached","S","1105 813 AGNES STREET","Downtown NW","2006","Apartment/Condo","10","New Westminster","New Westminster","3/31/2016","SHARP PENG","2","$1,774.93","1/31/2016","026-756-617",,"$282.00","2/1/2016","$339,000","$453.21","1.00","2","2","RM-6","$339,000","1","748","$453.21","1.00","Apartment/Condo"
"R2029329","Residential Attached","S","1210 2763 CHANDLERY PLACE","Fraserview VE","2000","Apartment/Condo","16","Vancouver East","Vancouver","2/2/2016","TOUCHBASE / TEXT","2","$1,113.63","1/28/2016","024-661-961","13","$349.11","2/1/2016","$339,000","$428.57","1.00","2","2","CD-1","$339,000","4","791","$428.57","1.00","Apartment/Condo"
"R2025504","Residential Attached","S","130 7938 209 STREET","Willoughby Heights","2011","Townhouse","5","Langley","Langley","4/15/2016","Shawn","2","$3,044.18","1/12/2016","028-876-211","3","$232.00","1/28/2016","$339,999","$283.10","1.00","2","2","RES","$339,999","16","1,201","$283.10","1.00","Townhouse"
"R2027046","Residential Detached","S","3445 PONDEROSA PLACE","Williams Lake - Rural North","1966","House with Acreage","51","Williams Lake (Zone 27)","Williams Lake","9/30/2016","JOY","2","$2,348.38","1/12/2016","012-139-726",,,"1/30/2016","$340,000","$233.20","0.97","2","3","R1","$349,000","18","1,458","$233.20","0.97","House with Acreage"
"R2026726","Residential Attached","S","28 7488 SOUTHWYNDE AVENUE","South Slope","2003","Townhouse","13","Burnaby South","Burnaby","7/20/2016","Touchbase","1","$2,017.43","1/20/2016","025-687-417","4","$197.64","2/2/2016","$340,000","$464.48","0.97","1","2","MF","$349,900","13","732","$464.48","0.97","Townhouse"
"R2007567","Residential Attached","S","113 10151 240 STREET","Albion","2015","Townhouse","1","Maple Ridge","Maple Ridge","10/7/2016","TOUCHBASE","2","$0.00","10/7/2015","800-099-325","3","$155.97","2/1/2016","$340,950","$267.62","1.00","3","3","RM1","$339,900","117","1,274","$267.62","1.10","Townhouse"
"R2028574","Residential Attached","S","104 1450 MERKLIN STREET","White Rock","1991","Apartment/Condo","25","South Surrey White Rock","White Rock","6/27/2016","Sheri","2","$1,958.83","1/27/2016","017-018-889",,"$468.61","1/30/2016","$342,000","$258.31","1.02","2","2","MF","$334,900","3","1,324","$258.31","1.02","Apartment/Condo"
"R2022987","Residential Detached","S","9250 MCNAUGHT ROAD","Chilliwack E Young-Yale","1972","House/Single Family","44","Chilliwack","Chilliwack","3/31/2016","DAVID FERENCZ","1","$2,139.28","1/5/2016","007-218-893",,,"2/2/2016","$342,000","$186.38","0.98","2","3","R1A","$350,000","28","1,835","$186.38","0.98","House/Single Family"
"R2028451","Residential Attached","S","95 15152 62A STREET","Sullivan Station","2006","Townhouse","10","Surrey","Surrey","5/26/2016","Touchbase","2","$2,115.00","1/26/2016","026-605-911","3","$250.16","1/31/2016","$345,000","$254.42","1.05","3","3","MF","$329,800","5","1,356","$254.42","1.05","Townhouse"
"R2025349","Residential Attached","S","106 1425 CYPRESS STREET","Kitsilano","1977","Apartment/Condo","39","Vancouver West","Vancouver","7/30/2016","touchbase","1","$918.48","1/14/2016","004-071-590","3","$253.00","1/31/2016","$345,000","$724.79","0.99","1","1","RM-4","$350,000","17","476","$724.79","0.99","Apartment/Condo"
"R2026880","Residential Attached","S","28 15065 58 AVENUE","Sullivan Station","2002","Townhouse","14","Surrey","Surrey","5/11/2016","ROB BLAIR","3","$2,119.74","1/19/2016","025-211-471","3","$285.00","1/29/2016","$345,000","$225.49","1.00","4","2","CD","$344,900","10","1,530","$225.49","1.00","Townhouse"
"R2028831","Residential Attached","S","53 21867 50 AVENUE","Murrayville","2012","Townhouse","4","Langley","Langley","6/30/2016","Bruce Pollon","2","$2,675.12","1/24/2016","028-806-239","3","$230.47","1/31/2016","$348,000","$265.45","1.00","2","3","RM-1","$348,888","7","1,311","$265.45","1.00","Townhouse"
"R2028057","Residential Attached","S","213 555 FOSTER AVENUE","Coquitlam West","2013","Apartment/Condo","3","Coquitlam","Coquitlam","12/31/2016","Tina","2","$2,069.48","1/25/2016","029-132-002",,"$198.41","1/31/2016","$348,000","$472.83","1.00","2","1","RES","$348,800","0","736","$472.83","1.00","Apartment/Condo"
"R2027406","Residential Detached","S","2898 GREENFOREST CRESCENT","Emerald","2010","House/Single Family","6","PG City North (Zone 73)","Prince George","4/30/2016","ANDY","3","$4,168.57","1/14/2016","027-477-118",,,"1/29/2016","$348,000","$141.00","0.97","3","3","RS2","$359,900","15","2,468","$141.00","0.97","House/Single Family"
"R2031520","Residential Attached","S","902 11967 80 AVENUE","Scottsdale","2017","Apartment/Condo","0","N. Delta","Delta","3/2/2016","Presentation Centre","2","$0.00","1/28/2016","900-577-855","37","$194.98","2/1/2016","$348,400","$457.22","0.99","2","2","CD","$352,900","4","762","$457.22","0.99","Apartment/Condo"
"R2030578","Residential Attached","S","121 15168 33 AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","4/29/2016","Judy Rohatyn","2","$0.00","1/29/2016","900-577-752","4","$326.37","1/30/2016","$349,900","$353.43","1.00","2","2","CD","$349,900","1","990","$353.43","1.00","Apartment/Condo"
"R2027286","Residential Attached","S","95 20875 80 AVENUE","Willoughby Heights","2007","Townhouse","9","Langley","Langley","7/25/2016","Emma","2","$2,612.35","1/25/2016","027-377-091","3","$199.56","1/31/2016","$350,000","$268.82","1.06","2","3","MF","$329,000","6","1,302","$268.82","1.06","Townhouse"
"R2015957","Residential Detached","S","4651 ZRAL ROAD","North Kelly","2015","House/Single Family","2","PG City North (Zone 73)","Prince George","9/18/2016","KAREN","2","$730.79","11/16/2015","016-378-237",,,"1/28/2016","$350,000","$163.48","0.99","2","3","RS1","$355,000","73","2,141","$163.48","0.99","House/Single Family"
"R2019199","Residential Detached","S","22 CARLSON STREET","Kitimat","1973","House/Single Family","43","Kitimat (Zone 89)","Kitimat","3/2/2016","SHANNON","2","$2,347.72","12/2/2015","010-324-593",,,"1/28/2016","$350,000","$150.73","0.97","3","4","R2A","$359,900","57","2,322","$150.73","0.97","House/Single Family"
"R2025947","Residential Attached","S","202 175 E 5TH STREET","Lower Lonsdale","1974","Apartment/Condo","42","North Vancouver","North Vancouver","12/18/2016","ELLY","2","$1,369.15","1/18/2016","003-563-944","3","$406.58","1/28/2016","$350,000","$391.50","0.99","2","2","RES","$355,000","10","894","$391.50","0.99","Apartment/Condo"
"R2025199","Residential Attached","S","201 14100 RIVERPORT WAY","East Richmond","2006","Apartment/Condo","10","Richmond","Richmond","7/6/2016","KAREN OR CORY","1","$1,255.71","1/12/2016","026-751-011",,"$320.18","1/28/2016","$351,000","$442.62","0.99","1","2","ZLR14","$353,800","16","793","$442.62","0.99","Apartment/Condo"
"R2024284","Residential Attached","S","1706 7088 18TH AVENUE","Edmonds BE","2007","Apartment/Condo","9","Burnaby East","Burnaby","1/11/2017","listing agent","1","$1,991.02","1/12/2016","027-186-393",,"$200.14","1/28/2016","$351,000","$572.59","0.99","1","1","MULTI","$355,000","16","613","$572.59","0.99","Apartment/Condo"
"R2029454","Residential Attached","S","16 34248 KING ROAD","Poplar","2010","Townhouse","6","Abbotsford","Abbotsford","7/30/2016","Dan Millar","2","$2,618.28","1/28/2016","028-456-301","3","$194.38","1/31/2016","$351,000","$266.92","1.03","3","3","RM60","$339,750","3","1,315","$266.92","1.03","Townhouse"
"R2030045","Residential Attached","S","2501 400 CAPILANO ROAD","Port Moody Centre","2008","Apartment/Condo","8","Port Moody","Port Moody","8/31/2016","SARAH","1","$1,687.05","2/1/2016","027-746-186","27","$219.63","2/2/2016","$351,900","$507.06","1.01","1","1","APT/CO","$349,900","1","694","$507.06","1.01","Apartment/Condo"
"R2028585","Residential Attached","S","506 9262 UNIVERSITY CRESCENT","Simon Fraser Univer.","2006","Apartment/Condo","10","Burnaby North","Burnaby","7/22/2016","LINDA","2","$2,096.83","1/24/2016","026-699-290","10","$345.78","2/2/2016","$352,000","$396.40","0.96","2","2","RES","$365,000","9","888","$396.40","0.96","Apartment/Condo"
"R2019098","Residential Attached","S","301 200 NEWPORT DRIVE","North Shore Pt Moody","1996","Apartment/Condo","20","Port Moody","Port Moody","3/3/2016","THE PROPERTY FINDERS","2","$1,648.20","11/27/2015","023-506-610",,"$402.23","2/2/2016","$352,000","$339.11","0.99","2","2","STRATA","$355,000","67","1,038","$339.11","0.99","Apartment/Condo"
"R2027077","Residential Attached","S","111 15152 62A AVENUE","Sullivan Station","2006","Townhouse","10","Surrey","Surrey","5/31/2016","Tom McConnell","2","$2,147.69","1/20/2016","026-393-786",,"$250.16","1/30/2016","$352,000","$251.79","1.04","3","3","MF","$339,900","10","1,398","$251.79","0.98","Townhouse"
"R2030238","Residential Detached","S","6786 WESTMOUNT CRESCENT","Lafreniere","2000","House/Single Family","16","PG City South (Zone 74)","Prince George","5/31/2016","MARK","3","$3,821.08","1/29/2016","023-953-241",,,"1/31/2016","$352,000","$142.28","0.99","3","4","RS2","$354,900","2","2,474","$142.28","0.99","House/Single Family"
"R2029306","Residential Detached","S","8408 85 AVENUE","Fort St. John - City SE","2013","House/Single Family","4","Fort St. John (Zone 60)","Fort St. John","7/28/2016","JODY BROWN","1","$3,147.24","1/28/2016","027-014-835",,,"1/31/2016","$353,000","$194.92","0.98","2","3","R4A","$359,000","3","1,811","$194.92","0.98","House/Single Family"
"V1142350","Residential Attached","S","504 4369 MAIN STREET","Whistler Village","1996","Apartment/Condo","20","Whistler","Whistler","2/29/2016","MARTIN SPRENKELS","2","$1,978.00","9/4/2015","023-779-381","5","$762.97","2/2/2016","$355,000","$546.15","0.89","2","2","TA1","$399,000","151","650","$546.15","0.89","Apartment/Condo"
"R2022223","Residential Attached","S","101 1169 NELSON STREET","West End VW","1981","Apartment/Condo","35","Vancouver West","Vancouver","7/4/2016","Adam (TEXT or Touchbase)","1","$1,130.25","12/31/2015","006-422-446","4","$409.05","1/31/2016","$355,000","$513.75","0.99","1","1","RM-5B","$359,000","31","691","$513.75","0.99","Apartment/Condo"
"R2006947","Residential Attached","S","315 1330 GENEST WAY","Westwood Plateau","2008","Apartment/Condo","8","Coquitlam","Coquitlam","6/30/2016","Tracy","2","$2,074.77","10/8/2015","027-675-882",,"$252.68","2/2/2016","$355,700","$396.54","0.99","2","2","APT","$359,000","117","897","$396.54","0.96","Apartment/Condo"
"R2025620","Residential Attached","S","4 13909 102 AVENUE","Whalley","2004","Townhouse","12","North Surrey","Surrey","7/18/2016","Morris Chen","2","$1,791.83","1/18/2016","026-169-525","3","$223.97","1/30/2016","$357,000","$225.66","1.00","3","3","RM-30","$358,000","12","1,582","$225.66","1.00","Townhouse"
"R2028861","Residential Attached","S","302 3156 DAYANEE SPRINGS BOULEVARD","Westwood Plateau","2012","Apartment/Condo","4","Coquitlam","Coquitlam","4/28/2016","JOE SACCO","2","$2,032.38","1/25/2016","028-978-005",,"$255.86","2/1/2016","$357,000","$436.43","1.05","2","2","APT","$338,800","7","818","$436.43","1.05","Apartment/Condo"
"R2020844","Residential Attached","S","212 2050 LAKE PLACID ROAD","Whistler Creek","1989","Apartment/Condo","27","Whistler","Whistler","4/14/2016","CATHERINE TAYLOR-MCKAY","1","$1,954.62","12/14/2015","013-798-138",,"$383.00","1/28/2016","$357,000","$649.09","0.99","1","1","RTA13","$359,000","45","550","$649.09","0.99","Apartment/Condo"
"R2031431","Residential Detached","S","11 47042 MACFARLANE PLACE","Promontory","2016","House/Single Family","0","Sardis","Sardis","12/31/2016","JOHN","2","$0.00","2/1/2016","700-009-935",,"$83.45","2/1/2016","$357,900","$166.54","1.04","3","3","R3B","$344,900","0","2,149","$166.54","1.04","House/Single Family"
"R2011432","Residential Attached","S","8509 74 STREET","Fort St. John - City SE","2015","1/2 Duplex","1","Fort St. John (Zone 60)","Fort St. John","4/26/2016","MIKE BUBURUZ","2","$555.70","10/26/2015","800-100-103",,"$0.00","2/2/2016","$358,500","$156.96","1.00","3","3","R2","$359,900","99","2,284","$156.96","1.00","1/2 Duplex"
"R2028655","Residential Attached","S","1708 6455 WILLINGDON AVENUE","Metrotown","1982","Apartment/Condo","34","Burnaby South","Burnaby","6/30/2016","MARCO CASTORO","1","$2,122.81","1/26/2016","002-153-726",,"$235.44","2/2/2016","$359,000","$389.37","1.00","1","2","VBSME","$359,000","7","922","$389.37","1.00","Apartment/Condo"
