"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2275995","Residential Attached","T","309 8180 JONES ROAD","Brighouse South","75","2","1994","0.00","Apartment/Condo","Richmond","018-867-111","V6Y 3Z6",,,,,,,,"2","RAM1","$595,000","0.00","Greater Vancouver","1",,,,,"24",,"778-316-5822",,,,"0","2",,,,,"Richmond","Residential Attached",,,,,,"8/15/2018","1","932","0","Concrete Perimeter","$1,108.41",,,,"Yes",,,,"8/15/2018",,"6/1/2018",,,,"1",,,,"$628,000",,,"BC","Location ! Location ! Location ! Well managed complex right in the heart of Richmond. Close to shopping, Schools, parks and public transportation. LAGUNA offers beautiful award winning grounds with fountain, club house with hot tub, gym and TV reading room, security gates and night guard, caretaker and ample guest parking. Blocks away from Richmond Center and Sky Train, close to General Currie School and community center. 2 bedroom, 2 bathrooms, elegant dining room, extra large master bathroom, very bright living room overlooks courtyard green space, lots of windo ws, very quiet unit. 2 secured parkings and 1 locker. Very clean. Beautiful gas fireplace in living room. Big balcony facing beautiful green belt. RENTAL ALLOWED.","Motivated Seller. All measurements are approx, buyer to verify if deemed important. 2 parking #397, #413 one locker #413. NO Touchbase Pls. Easy to show .Call/Text Fiona at 778-316-5822  for more details.","For Sale",,,"8/15/2018",,,,"$341.81","Freehold Strata",,,,,
"R2276887","Residential Detached","T","408 BRUNEAU PLACE","Aldergrove Langley","65","3","1978","2,500.00","House/Single Family","Langley","005-107-962","V4W 3K9","25.00",,,,,,,"2","R1-A","$598,888","0.06","Fraser Valley","1",,,,,"40",,"778-998-6384",,,,"0","3",,,,,"Langley","Residential Detached",,,,,,"8/10/2018","1","1,415","0","Concrete Perimeter","$3,012.62",,,,"Yes",,,,"8/10/2018",,"6/6/2018",,,,"2",,"4",,"$0","9/30/2018",,"BC","FAMILY HOME in SPRINGFIELD !! Fresh painted Single family HOME. Lots of space for a family to use 3Bed, 2 full bath. Soaring Vaulted Ceiling in Living area with electric fireplace. Separate kitchen and dining areas leads to patio outdoor. Master bedrm with private balcony at front. Fully fenced backyard with extra storage shed. Bonus of Family room would make a great Rec room, Home Office etc. Great location, walking distance to transit, shopping & Schools. Call to book a private showing.","Thanks for showing. All measurements are approx, pls verify. EASY to show anytime with some notice.","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2268809","Residential Attached","T","789 4133 STOLBERG STREET","West Cambie","91","2","2013","0.00","Apartment/Condo","Richmond","028-990-617","V6X 1K4",,,,,,,,"1","ZLR22","$599,000","0.00","Greater Vancouver","1",,,,,"5",,"604-727-3668",,,,"0","2",,,,,"Richmond","Residential Attached",,,,,,"8/14/2018","0","789","0","Concrete Perimeter","$1,180.36",,,,"Yes",,,,"8/14/2018",,"5/15/2018",,,,"1",,"2",,"$0",,,"BC","Welcome to the functional, 2 bedroom and 1 bath penthouse unit at Remy. Best West Cambie location with preferred Southern exposure & view with 2 parking and 2 lockers. Quality finishing includes 9' ceilings, laminate flooring and gourmet kitchen with granite counter tops. Eco friendly Geothermal heating and air-conditioning is included in the strata fee. Rentals allowed. Close to all amenities, day care centre is right downstairs. Just a short stroll away from Wal-Mart, Abredeen Mall, Yaohan Centre and many restaurants. Close to bus stop, easily get to Burnaby and Richmond Centre. Short drive to airport and downtown Vancouver.","All measurements are approximate & to be verified by the buyer. 2 parking stalls $216 & #168. 2 lockers #9 & #10. Needs notice for showing.","For Sale",,,"8/14/2018",,,,"$360.69","Freehold Strata","251",,,,
"R2292895","Residential Attached","T","1705 7362 ELMBRIDGE WAY","Brighouse","19","2","2008","0.00","Apartment/Condo","Richmond","027-593-274","V6X 0A6",,,,,,,,"2","BH","$599,000","0.00","Greater Vancouver","1",,,,,"10",,"778-840-3334",,,,"0","2",,,,,"Richmond","Residential Attached",,,,,,"8/14/2018","0","850","0","Concrete Perimeter","$1,700.04",,,,"Yes",,,,"8/14/2018",,"7/26/2018",,,,"1",,"2",,"$0",,,"BC","Welcome, FLO by Onni Group, Excellent Central location! 850 sqft north-facing upper unit with amazing mountain views. Gourmet kitchen features stainless steel appliances, solid granite slab counter tops, and hardwood flooring all throughout. Great amenities which includes an outdoor pool and hot tub, a party room with a billiards table and a complete Gym. Very close to sky train, bus, Richmond hospital, walking distance to Richmond Center & the new upcoming Olympic Oval area with the new T&T. Comes with 2 tandem parking stalls and 1 storage locker. Showings are made by appointment only.","All measurements all approx. Buyer to verify if important. All showings need 24 hours early notice due to tenant request. Offers, If any,will be collected by 7pm on Augest 9th.","For Sale",,,"8/14/2018",,,,"$340.58","Freehold Strata",,,,,
"R2290468","Residential Attached","T","427 5880 DOVER CRESCENT","Riverdale RI","26","2","1996","0.00","Apartment/Condo","Richmond","023-232-943","V7C 5P5",,,,,,,,"2","ZLR2","$599,000","0.00","Greater Vancouver","1",,,,,"22",,"604-273-2828",,,,"0","2",,,,,"Richmond","Residential Attached",,,,,,"8/13/2018","1","930","0","Concrete Perimeter","$1,146.89",,,,"Yes",,"CITY OF RICHMOND",,"8/13/2018",,"7/18/2018","Richmond",,,"1",,"1",,"$0",,,"BC","Welcome to Waterside. This 2 bedroom 2 bathroom 930 sqft unit offers river and Northshore mountain views right from the living room. Updated kitchen with granite countertops, backsplash, stainless steel appliances and laminate floor in the living room & dining room.  Desirable separation of bedrooms which provides maximum privacy. Steps to the dyke and walks along the river, Dover Park, Thompson Community Centre, the Oval Village and easy commute to the Airport and Richmond Centre. Well managed complex with newer metal roof in 2015, upgraded piping and live in caretaker. This is a beautiful home in a sought after location.  A must see!.  Property size & room sizes are taken from BC Floor Plans, buyer to verify if necessary. ","Parking #251, No Locker.  30 rental allowed, currently Full.  Pet Restrictions: 1 cat, no dog. Property size & room sizes are taken from BC Floor Plans, buyer to verify if necessary.  Please include a signed version of the attached Team Disclosure with all offers. ","For Sale",,,"8/13/2018",,"4",,"$361.15","Freehold Strata","203",,"203",,
"R2256812","Residential Attached","C","7209 CELISTA DRIVE","Champlain Heights","127","3","1979","0.00","Townhouse","Vancouver East","005-647-053","V5S 4A1",,,,,,,,"1","CD-1","$599,000","0.00","Greater Vancouver","1",,,,,"39",,"778-891-2837","2018",,,"0","3",,,,,"Vancouver","Residential Attached",,,,,,"10/30/2018","0","1,100","0","Concrete Perimeter","$1,231.45",,,,"Yes",,,"2079","8/15/2018",,"4/10/2018",,,,"1",,"2",,"$689,000",,,"BC","Duplex Townhouse complex, The Meadows, Park-like living. Located at low density, Champlain Heights area.  South east facing entrance, one level home. Private enclosed garden and patio, Vault ceiling living room . All three room windows face to the private garden. a lot of sunlight from the West to the private garden. A lot of indoor closet for storage. Huge Laundry room can also used to be a mud room or pantry. Two parking spots just at the front. Rain screened 2008. newer roof. Champlain elementary school one block away. walking trail close by. Centeral Park community center is two blocks away.","Duplex style townhouse, one-level , measurements are approx. Buyer to verify. Just newly painted, shows well. Still available: strata mintues: https://drive.google.com/drive/folders/1cXgK_9nzwoueKp6x2bLLmV5u0q2yqvPO?usp=sharing","For Sale",,,"8/15/2018",,,,"$375.55","Leasehold prepaid-Strata","40",,,,
"R2279415","Residential Attached","S","701 2980 ATLANTIC AVENUE","North Coquitlam","61","2","2009","0.00","Apartment/Condo","Coquitlam","028-079-469","V3B 0G2",,,,"$599,000","1.00","$676.84","8/12/2018","2","C4","$599,900","0.00","Greater Vancouver","1",,,,"9/28/2018","9",,"604-719-4490",,,,"0","2",,,".",,"Coquitlam","Residential Attached",,"8/12/2018","60",,,"9/12/2018","0","885","0","Concrete Perimeter","$2,049.47","NOT USED",,,"Yes",,,,"8/13/2018",,"6/12/2018",,,,"1",,"1",,"$629,000",,,"BC","Levo is 37 level highrise developed by Lawrence Doyle Architects gives you the peace-of-mind of solid fire resistant reinforced concrete construction. Outdoor barbeque area, garden level patio, secure parking, direct access to 3 elevators, recharging stations for electric cars & bike room. Great floor plan with 2 bedrooms on opposite sides, granite counter tops, stainless steel appliances, very open & cozy unit with lots of natural light. Good size balcony with mountain views. Comes with one parking & one storage locker. Located next to skytrain, Coquitlam Centre Mall, Pinetree Seniors' Centre, Coquitlam Public Library, Aquatic Centre, T&T & Evergreen Centre. Rentals ALLOWED! OPEN HOUSE AUG 12, SUN, 2-4 PM.","Received non-conditional offer, open house has been cancelled. Cats or 2 dogs or 1 cat & 1 dog, a total of 2 max 24 height. Measurements are approx & must be verified by the buyer. Parking #279, storage locker #29, contingency fund $304K. VIDEO: https://youtu.be/DlfDy5CUn7w","For Sale",,"0.95","8/13/2018",,"37",,"$264.11","Freehold Strata","251",,"251",,
"R2270860","Residential Attached","X","915 13325 102A AVENUE","Whalley","93","1","2013","0.00","Apartment/Condo","North Surrey","029-045-924","V0V 0V0",,,,,,,,"1","MULTI","$599,606","0.00","Fraser Valley","1",,,,,"5",,"778-896-4113",,,,"0","1",,,,,"Surrey","Residential Attached",,,,,,"8/15/2018","0","723","0","Concrete Block","$1,350.00",,,,"Yes",,,,"8/16/2018",,"5/15/2018",,,,"1",,"1",,"$0",,,"BC","Welcome to WESTSTONE’S West Village awesome suite add your wall beds and put in a call tot he University District Awesome Suite because of the square footage and covered balcony.....add a wall bed in the den and the open great room and master bedroom could easily be a junior 3 bedroom. Located in the Heart of Surrey City Centre shopping close by..Walmart T&T Surrey City Central Mall Sky Train awesome suite beautiful views of the court yard....","Welcome to WESTSTONE’S West Village awesome suite add your wall beds and put in a call tot he University District Awesome Suite because of the square footage and covered balcony.....add a wall bed in the den and the open great room and master bedroom could easily be a junior 3 bedroom.","For Sale",,,"8/16/2018",,"40",,"$269.00","Freehold Strata","365",,"365",,
"R2291164","Residential Attached","C","3301 11967 80 AVENUE","Scottsdale","26","2","2017","0.00","Apartment/Condo","N. Delta","030-115-469","V4C 0E2",,,,,,,,"2","APT","$599,800","0.00","Fraser Valley","1",,,,,"1",,"604-603-4720",,,,"0","2",,,,,"Delta","Residential Attached",,,,,,"10/19/2018","0","821","0","Concrete Perimeter","$0.00",,,,"Yes",,,,"8/14/2018",,"7/19/2018",,,,"1",,"2",,"$0",,,"BC","High floor and forever mountain, ocean and city vistas! Most sought after and rarely available 01 plan features a smart layout consisting of satelitte bedrooms and an entertainment sized living space opening to an extra-large SW exposed covered patio. Long list of premium upgrades include a designer paint scheme, multiple feature walls, extensive built-ins and custom recessed/under-mount LED lighting. Open kitchen highlights solid wood cabinetry, premium KitchenAid stainless steel appliance package, subway tile backsplash and polished quartz counters. Enjoy the conveniences of two secured underground parking spots and an external storage locker. Over 1/2 Acre of amenity space featuring Putting Green, Outdoor Fitness Centre, BBQ, Fire Pit, Concierge, Playground and Community Gardens.","NO TOUCHBASE, PLEASE. Very easy to show. Measurements are approximate and to be verified if deemed important. Open house Saturday August 11th from 1:30-3pm. Docs: https://bit.ly/2GEenUU","For Sale",,,"8/14/2018",,,,"$230.54","Freehold Strata","317",,"317",,
"R2287404","Residential Attached","T","1202 8180 GRANVILLE AVENUE","Brighouse South","35","2","1999",,"Apartment/Condo","Richmond","024-376-710","V6Y 1P3","0.00",,,,,,,"2","MF","$599,900",,"Greater Vancouver","1",,,,,"19",,"604-273-2828","2018",,,"0","2",,,,,"Richmond","Residential Attached",,,,,,"8/13/2018","1","886","0","Concrete Perimeter","$1,162.45",,,,"Yes",,"CITY OF RICHMOND",,"8/13/2018",,"7/9/2018","Richmond",,,"1",,"2",,"$0",,,"BC","Super bright & nicely renovated 2 bedroom, 2 bathroom concrete condo with 2 side x side parking spots!  This NW corner home on the 12th floor is a must see and features amazing city views, new laminate floors, new stainless steel appliances & new paint.  Excellent 886 SF layout with separated bedrooms for increased privacy, gas fireplace lots of windows, insuite laundry / storage and west facing balcony.  Rentals allowed.  All this in a totally convenient location near Granville & No 3 Road that’s just steps to Richmond Ctr, Minoru Park, community centre, buses, Skytrain station, restaurants and so much more.","Parking #70 & 71.  Please include a signed version of the attached Team Disclosure with all offers.","For Sale",,,"8/13/2018",,"16",,"$297.84","Freehold Strata","115",,"115",,
"R2279215","Residential Attached","T","608 4078 KNIGHT STREET","Knight","66","1","2008","0.00","Apartment/Condo","Vancouver East","027-274-683","V5N 5Y9",,,,,,,,"1","CD-1","$599,900","0.00","Greater Vancouver","1",,,,,"10",,"604-346-7200",,,,"0","1",,,,,"Vancouver","Residential Attached",,,,,,"8/16/2018","0","677","0","Concrete Perimeter","$1,144.59",,,,"Yes",,,,"8/16/2018",,"6/11/2018",,,,"1",,,,"$0",,,"BC","Welcome to AQUILINI’S KING EDWARD VILLAGE! This spacious E. facing 1 Bedroom + Den + Flex is on the quiet inner courtyard side w/ OPEN MTN VIEWS! This home is perfectly laid out w/a spacious livrm/dinrm leading to a covered balcony great for summer BBQ’s! The open kitch has Brazilian granite counters w/breakfast bar seating & frosted glass cupboard doors. Relax in the quiet bdrm w/double walk-through closets leading to the spa-like 4 pce bath w/soaker tub & Travertine vanity countertop. There’s even room for a home office/den & in-suite storage. Convenient location w/Save-On Foods, bank, stores & transit at your foot steps! Easy access to Downtown, Airport, Trout Lake, Kensington Community Ctr & much more. 1 parking incl.","Parking P2-77; Locker LM32. Measurements are approx, buyer to verify if important. Please NO TEXT or TB! Call 604-346-7200 for showings. Patio measurement is a balcony. Strata plan show 654 Sq Ft.","For Sale",,,"8/16/2018",,,,"$236.92","Freehold Strata",,,,,
"R2283294","Residential Attached","C","310 2040 CORNWALL AVENUE","Kitsilano","46","1","1972","0.00","Apartment/Condo","Vancouver West","003-289-729","V6J 1E1",,,,,,,,"1","RM-4","$599,999","0.00","Greater Vancouver","1",,,,,"46",,"778-321-0091","2010",,,"0","1",,,,,"Vancouver","Residential Attached",,,,,,"12/20/2018","1","622","0","Concrete Perimeter","$1,015.70",,,,"Yes",,,,"8/10/2018",,"6/25/2018",,,,"1",,"1",,"$625,000",,,"BC","Enjoy living with the beach at your doorstep and the best of Kitsilano’s cafes, shops and restaurants just a short ocean-breezy stroll away. This bright, top-floor home has been fully updated throughout. Find gorgeous rosewood Torlys flooring, an in-wall Bose sound system, heated bathroom flooring and designer fittings by Hansgrohe and Phillippe Stark for Duravit. The completely renovated kitchen features added cabinetry and high-end Bosch, GE and Electrolux ICON appliances. In the winter, a built-in Dimplex fireplace adds warmth and ambiance. In the summer, BBQ with friends on your balcony. Strata has seen the roof, balconies, elevator and intercom all replaced or updated within the last 10 years. Building membrane being redone with extensive re-landscaping and has been paid for.","Strata plan shows 655 sq ft. Measured by Excelsior at 622 sq ft. Buyer to verify if important.  Age from BC assessment and Tax Report. Buyer to verify if important. ","For Sale",,,"8/10/2018",,"3",,"$325.39","Freehold Strata",,,"34",,
"R2291280","Residential Attached","T","1 15155 62A AVENUE","Sullivan Station","29","3","2006","0.00","Townhouse","Surrey","026-858-622","V3S 8A6",,,,,,,,"2","MF","$599,999","0.00","Fraser Valley","1",,,,,"12",,"778-320-9555",,,,"0","3",,,,,"Surrey","Residential Attached",,,,,,"8/17/2018","1","1,349","0","Concrete Perimeter","$2,076.61",,,,"Yes",,,,"8/17/2018",,"7/19/2018",,,,"3",,"2",,"$0",,,"BC","Welcome to Oaklands! Bright and quiet CORNER UNIT with additional windows and lots of natural light. Stunning 3 bedrooms + 2 full bathrooms townhouse at Panorama Place. Newer laminate floor throughout, Walk out from your lovely kitchen to your very own large private backyard! 2 spacious bedrooms with Master that features 2 large double closets & ensuite with double sinks. South east corner bedroom with 10 ft ceiling. Double tandem garage with visitor parking right next to your driveway. RESORT STYLE, quality built 10,000 SF clubhouse includes; two lounges, outdoor pool, Spa, exercise center, floor hockey rink & guest suites.  Friendly neighborhood, 350 metre walking distance to Cambridge Elementary. Must be seen!  ***Open House Aug 12 2-4PM***","Measurement approx, Buyer to verify if deemed important.  Team addendum required with all offers. ***Open House Aug 12 2-4PM***","For Sale",,,"8/17/2018",,,,"$259.43","Freehold Strata",,,,,
